,date,rtgs_vol,rtgs_val,neft_vol,neft_val,aeps_vol,aeps_val,upi_vol,upi_val,imps_vol,imps_val,nach_credit_vol,nach_credit_val,nach_debit_vol,nach_debit_val,netc_vol,netc_val,bbps_vol,bbps_val,cts_vol,cts_val,nfs_through_atms_vol,nfs_through_atms_val,aeps_through_micro_atms_or_bcs_vol,aeps_through_micro_atms_or_bcs_val,credit_card_at_pos_and_e_commerce_vol,credit_card_at_pos_and_e_commerce_val,debit_card_at_pos_and_e_commerce_vol,debit_card_at_pos_and_e_commerce_val,ppis_card_at_pos_and_e_commerce_vol,ppis_card_at_pos_and_e_commerce_val,government_securities_clearing_vol,government_securities_clearing_val,forex_clearing_vol,forex_clearing_val,rupee_derivatives_vol,rupee_derivatives_val,credit_card_at_pos_vol,credit_card_at_pos_val,credit_card_at_e_commerce_vol,credit_card_at_e_commerce_val,debit_card_at_pos_vol,debit_card_at_pos_val,debit_card_at_e_commerce_vol,debit_card_at_e_commerce_val,ppis_card_at_pos_vol,ppis_card_at_pos_val,ppis_card_at_e_commerce_vol,ppis_card_at_e_commerce_val
0,01-06-2020,4.85,436996.69,172.11,104275.13,0.44,7.68,476.97,10413.11,76.81,9072.55,84.86,6326.17,20.12,2084.74,23.82,44.37,5.43,95.36,17.55,15056.24,105.82,4764.81,29.02,696.56,,,,,,,,,,,,,,,,,,,,,,,,
1,02-06-2020,4.54,361878.87,100.07,65259.02,0.44,7.67,476.78,9951.3,72.25,8215.41,143.33,14387.49,63.13,3613.36,24.38,46.23,5.21,81.15,18.25,16041.19,105.13,4781.97,28.3,676.75,,,,,,,,,,,,,,,,,,,,,,,,
2,03-06-2020,4.3,330632.89,100.36,62985.75,0.44,7.48,456.26,9622.38,68.15,7653.71,40.66,2985.88,38.46,2288.95,25.36,47.21,5.24,81.36,16.76,14536.47,99.49,4426.92,28.85,668.88,,,,,,,,,,,,,,,,,,,,,,,,
3,04-06-2020,4.35,329072.45,94.66,63148.29,0.45,7.32,463.05,9639.5,70.69,7705.89,286.04,5113.36,37.8,3592.44,25.81,48.39,5.51,83.05,17.39,14865.92,101.38,4424.53,29.57,648.92,,,,,,,,,,,,,,,,,,,,,,,,
4,05-06-2020,4.56,365468.95,111.26,68932.72,0.48,7.32,464.79,9539.52,73,7705.25,70.96,3166.1,88.48,9558.57,25.99,48.6,5.33,85.94,18.25,15214.06,101.19,4321.01,32.65,646.99,,,,,,,,,,,,,,,,,,,,,,,,
5,06-06-2020,3.79,111618.22,77.05,60118.06,0.54,7.71,458.65,9119.2,70.35,7076.03,55.08,3528.03,20.46,2336.25,26.74,49.48,5.71,88.65,17.56,13210.67,106.47,4539.73,41.61,722.72,,,,,,,,,,,,,,,,,,,,,,,,
6,07-06-2020,,,8.36,2651.29,0.44,5.58,427.26,6875,54.25,4350.25,,,,,25.2,48.25,4.56,58.07,,,88.97,3389.12,29.38,474.45,,,,,,,,,,,,,,,,,,,,,,,,
7,08-06-2020,5.33,343217.53,121.32,68564.97,0.62,8.21,469.99,10062.17,71.3,8143.19,97.13,3183.71,76.62,5137.65,26.14,46.35,6.14,102.27,20.45,14905.54,109.96,4663.92,50.4,811.19,,,,,,,,,,,,,,,,,,,,,,,,
8,09-06-2020,4.95,295808.24,95.19,68888.08,0.63,8.43,466.98,9786.86,69.55,7725.25,153.41,3759.64,14.01,1632.16,26.67,48.45,6.11,97.25,20.46,16020.33,109.51,4612.79,53.09,844.86,,,,,,,,,,,,,,,,,,,,,,,,
9,10-06-2020,4.79,332717.29,87.89,63676.19,0.69,9.11,461.58,9839.41,69.48,7650.2,60.69,9100.73,80.53,8699.34,28.48,51.27,6.09,100.79,21.4,16443.04,109.87,4616.18,49.4,813.29,,,,,,,,,,,,,,,,,,,,,,,,
10,11-06-2020,4.68,325252.84,79.91,69624.46,0.63,8.4,449.65,9499.97,68.71,7424.38,149.39,7076.68,16.34,1885.18,28.09,51.39,6.31,107.87,20.2,15962.74,105.44,4425.35,46.81,801.79,,,,,,,,,,,,,,,,,,,,,,,,
11,12-06-2020,5.23,431435.81,78.75,72097.78,0.64,8.98,453.43,9288.43,68.24,7365.12,50.51,2389.14,21.36,2555.54,29.64,53.13,6.32,99.41,20.5,16135.23,106.37,4439.67,43.5,791.59,,,,,,,,,,,,,,,,,,,,,,,,
12,13-06-2020,,,16.08,5053.56,0.58,8.24,289,4333.74,47.25,4517,,,,,28.84,52.8,5.17,75.26,,,100.3,4090.22,38.1,712.77,,,,,,,,,,,,,,,,,,,,,,,,
13,14-06-2020,,,10.83,2674.32,0.39,5.53,435.87,7238.23,57.41,4388.98,,,,,26.58,50.28,5.4,73.03,,,80.5,2920.07,24.32,449.29,,,,,,,,,,,,,,,,,,,,,,,,
14,15-06-2020,6.74,489520.12,95.28,88318.82,0.53,8.04,463.91,9725.94,72.58,8165.45,93.28,5950.57,68.28,5306.86,27.51,47.91,8.27,147.37,29,21170.32,100.7,4212.04,36.31,716.95,,,,,,,,,,,,,,,,,,,,,,,,
15,16-06-2020,5.31,329380.89,82.53,88072.57,0.55,8.19,469.24,9361.87,67.37,7244.15,177.77,6101.41,19.89,1863.97,27.23,49.44,7.23,125.24,25.71,20977.17,97.91,4058.76,34.64,696.39,,,,,,,,,,,,,,,,,,,,,,,,
16,17-06-2020,4.97,321418.91,72.77,64135.49,0.54,8.04,446.58,9087.24,68.21,7098.01,58.41,2713.92,9.84,1325,28.6,52.06,6.98,117.03,22.24,17452.45,99.15,4018.48,34.01,690.78,,,,,,,,,,,,,,,,,,,,,,,,
17,18-06-2020,4.79,335846.16,70.92,76040.08,0.58,8.41,433.32,8793.32,66.09,6929.78,127.05,4687.23,13.12,1580.04,29.34,53.82,6.84,117.28,20.69,17511.03,94.85,3800.05,33.27,682.12,,,,,,,,,,,,,,,,,,,,,,,,
